date,open,high,low,close
2019-09-26 15:00:00,31.47,31.9,31.41,31.72
2019-09-26 14:55:00,31.31,31.5,31.28,31.38
2019-09-26 14:50:00,31.23,31.35,31.15,31.33
2019-09-26 14:45:00,31.29,31.29,31.18,31.18
2019-09-26 14:40:00,31.49,31.49,31.28,31.29
2019-09-26 14:35:00,31.36,31.49,31.3,31.49
2019-09-26 14:30:00,31.32,31.5,31.27,31.37
2019-09-26 14:25:00,31.27,31.41,31.27,31.32
2019-09-26 14:20:00,31.38,31.41,31.25,31.35
2019-09-26 14:15:00,31.52,31.52,31.37,31.4
2019-09-26 14:10:00,31.58,31.59,31.42,31.52
2019-09-26 14:05:00,31.54,31.68,31.53,31.58
